bug_id,bug_fix_time,long_lived,y_hat,project_name
CORE_GRAVEYARD-220832,10,N,N,mozilla
CORE_GRAVEYARD-223084,9,N,N,mozilla
CORE_GRAVEYARD-225972,0,N,N,mozilla
CORE_GRAVEYARD-226406,1,N,N,mozilla
CORE_GRAVEYARD-229270,17,N,N,mozilla
CORE_GRAVEYARD-231202,3,N,N,mozilla
CORE_GRAVEYARD-238052,304,N,N,mozilla
CORE_GRAVEYARD-253998,0,N,N,mozilla
CORE_GRAVEYARD-26197,76,N,N,mozilla
CORE_GRAVEYARD-272122,9,N,N,mozilla
CORE_GRAVEYARD-273726,61,N,N,mozilla
CORE_GRAVEYARD-275106,4,N,N,mozilla
CORE_GRAVEYARD-277329,30,N,N,mozilla
CORE_GRAVEYARD-278447,166,N,N,mozilla
CORE_GRAVEYARD-279979,343,N,N,mozilla
CORE_GRAVEYARD-283366,11,N,N,mozilla
CORE_GRAVEYARD-285054,23,N,N,mozilla
CORE_GRAVEYARD-285517,4,N,N,mozilla
CORE_GRAVEYARD-291512,10,N,N,mozilla
CORE_GRAVEYARD-292150,319,N,N,mozilla
CORE_GRAVEYARD-292319,4,N,N,mozilla
CORE_GRAVEYARD-293301,6,N,N,mozilla
CORE_GRAVEYARD-293571,322,N,N,mozilla
CORE_GRAVEYARD-296350,1,N,N,mozilla
CORE_GRAVEYARD-299379,116,N,N,mozilla
CORE_GRAVEYARD-300207,274,N,N,mozilla
CORE_GRAVEYARD-307309,9,N,N,mozilla
CORE_GRAVEYARD-310962,770,Y,N,mozilla
CORE_GRAVEYARD-311980,614,Y,N,mozilla
CORE_GRAVEYARD-315150,95,N,N,mozilla
CORE_GRAVEYARD-318669,2,N,N,mozilla
CORE_GRAVEYARD-324096,55,N,N,mozilla
CORE_GRAVEYARD-328886,7,N,N,mozilla
CORE_GRAVEYARD-335076,7,N,N,mozilla
CORE_GRAVEYARD-337277,12,N,N,mozilla
CORE_GRAVEYARD-338028,65,N,N,mozilla
CORE_GRAVEYARD-338759,1,N,N,mozilla
CORE_GRAVEYARD-339309,0,N,N,mozilla
CORE_GRAVEYARD-347610,67,N,N,mozilla
CORE_GRAVEYARD-355743,4,N,N,mozilla
CORE_GRAVEYARD-358139,7,N,N,mozilla
CORE_GRAVEYARD-368583,154,N,N,mozilla
CORE_GRAVEYARD-37482,12,N,N,mozilla
CORE_GRAVEYARD-377241,3217,Y,N,mozilla
CORE_GRAVEYARD-385106,1676,Y,N,mozilla
CORE_GRAVEYARD-390075,152,N,N,mozilla
CORE_GRAVEYARD-397834,5,N,N,mozilla
CORE_GRAVEYARD-40330,29,N,N,mozilla
CORE_GRAVEYARD-426616,10,N,N,mozilla
CORE_GRAVEYARD-439722,69,N,N,mozilla
CORE_GRAVEYARD-469206,587,Y,N,mozilla
CORE_GRAVEYARD-506915,0,N,N,mozilla
CORE_GRAVEYARD-506997,5,N,N,mozilla
CORE_GRAVEYARD-77537,64,N,N,mozilla
CORE_GRAVEYARD-83320,2,N,N,mozilla
CORE_GRAVEYARD-92535,2153,Y,N,mozilla
CORE_GRAVEYARD-93820,645,Y,N,mozilla
CORE-100147,21,N,N,mozilla
CORE-100243,1885,Y,N,mozilla
CORE-100904,167,N,N,mozilla
CORE-101998,138,N,N,mozilla
CORE-10227,203,N,N,mozilla
CORE-102440,5902,Y,N,mozilla
CORE-103148,72,N,N,mozilla
CORE-103662,48,N,N,mozilla
CORE-103916,37,N,N,mozilla
CORE-104326,53,N,N,mozilla
CORE-105346,407,Y,N,mozilla
CORE-106466,23,N,N,mozilla
CORE-107103,2,N,N,mozilla
CORE-107518,926,Y,N,mozilla
CORE-109345,147,N,N,mozilla
CORE-109389,4,N,N,mozilla
CORE-11011,2241,Y,N,mozilla
CORE-110399,82,N,N,mozilla
CORE-114040,88,N,N,mozilla
CORE-116252,134,N,N,mozilla
CORE-116302,110,N,Y,mozilla
CORE-118954,787,Y,N,mozilla
CORE-119902,4,N,N,mozilla
CORE-120373,1759,Y,N,mozilla
CORE-121260,247,N,Y,mozilla
CORE-123049,352,N,N,mozilla
CORE-124103,1,N,N,mozilla
CORE-12559,1474,Y,N,mozilla
CORE-126319,13,N,N,mozilla
CORE-12665,474,Y,Y,mozilla
CORE-126903,940,Y,N,mozilla
CORE-127189,6,N,N,mozilla
CORE-128561,1959,Y,N,mozilla
CORE-129786,4,N,N,mozilla
CORE-130658,356,N,N,mozilla
CORE-131727,204,N,N,mozilla
CORE-132785,0,N,N,mozilla
CORE-13348,335,N,N,mozilla
CORE-133761,138,N,N,mozilla
CORE-134962,12,N,N,mozilla
CORE-135278,37,N,N,mozilla
CORE-136264,336,N,N,mozilla
CORE-137852,5039,Y,N,mozilla
CORE-139276,333,N,N,mozilla
CORE-14043,0,N,N,mozilla
CORE-142718,236,N,N,mozilla
CORE-142788,13,N,N,mozilla
CORE-143460,12,N,N,mozilla
CORE-14408,46,N,N,mozilla
CORE-144376,2091,Y,N,mozilla
CORE-144534,0,N,N,mozilla
CORE-145309,417,Y,Y,mozilla
CORE-14752,1,N,N,mozilla
CORE-148947,1138,Y,N,mozilla
CORE-150341,82,N,N,mozilla
CORE-151604,8,N,N,mozilla
CORE-151920,59,N,N,mozilla
CORE-152844,183,N,N,mozilla
CORE-157183,10,N,N,mozilla
CORE-157485,7,N,N,mozilla
CORE-158937,1,N,N,mozilla
CORE-159108,417,Y,N,mozilla
CORE-159167,1419,Y,N,mozilla
CORE-161250,114,N,N,mozilla
CORE-162063,2417,Y,N,mozilla
CORE-162083,108,N,N,mozilla
CORE-162507,94,N,N,mozilla
CORE-16311,2136,Y,N,mozilla
CORE-163257,504,Y,N,mozilla
CORE-163645,309,N,N,mozilla
CORE-164457,1568,Y,N,mozilla
CORE-165609,655,Y,N,mozilla
CORE-165877,93,N,N,mozilla
CORE-167355,1,N,N,mozilla
CORE-167745,27,N,N,mozilla
CORE-168658,440,Y,N,mozilla
CORE-170702,853,Y,N,mozilla
CORE-170781,92,N,N,mozilla
CORE-171949,349,N,N,mozilla
CORE-172393,457,Y,N,mozilla
CORE-173586,586,Y,N,mozilla
CORE-174189,27,N,N,mozilla
CORE-176518,0,N,N,mozilla
CORE-176985,2,N,N,mozilla
CORE-17703,99,N,N,mozilla
CORE-179810,151,N,N,mozilla
CORE-180015,795,Y,N,mozilla
CORE-180328,3287,Y,N,mozilla
CORE-180861,1086,Y,N,mozilla
CORE-181233,95,N,N,mozilla
CORE-181383,93,N,N,mozilla
CORE-181711,165,N,N,mozilla
CORE-182253,6,N,N,mozilla
CORE-184363,1345,Y,N,mozilla
CORE-185775,35,N,N,mozilla
CORE-186216,2,N,N,mozilla
CORE-186957,57,N,N,mozilla
CORE-187254,84,N,N,mozilla
CORE-187876,6,N,N,mozilla
CORE-188153,250,N,N,mozilla
CORE-189077,41,N,N,mozilla
CORE-189884,826,Y,N,mozilla
CORE-192611,52,N,N,mozilla
CORE-193316,962,Y,N,mozilla
CORE-193710,0,N,N,mozilla
CORE-194876,1,N,Y,mozilla
CORE-197114,332,N,N,mozilla
CORE-197146,33,N,N,mozilla
CORE-199108,0,N,N,mozilla
CORE-199897,44,N,N,mozilla
CORE-200382,1,N,N,mozilla
CORE-200391,17,N,Y,mozilla
CORE-201054,1,N,N,mozilla
CORE-204545,15,N,N,mozilla
CORE-204962,29,N,N,mozilla
CORE-205730,1,N,N,mozilla
CORE-206027,4,N,N,mozilla
CORE-206165,5,N,N,mozilla
CORE-206696,6,N,N,mozilla
CORE-20754,158,N,N,mozilla
CORE-209430,212,N,N,mozilla
CORE-210539,1,N,Y,mozilla
CORE-21069,118,N,N,mozilla
CORE-211173,8,N,N,mozilla
CORE-211378,7,N,N,mozilla
CORE-211470,25,N,N,mozilla
CORE-211852,18,N,N,mozilla
CORE-213517,3816,Y,N,mozilla
CORE-213692,2075,Y,N,mozilla
CORE-214050,1,N,N,mozilla
CORE-214844,13,N,Y,mozilla
CORE-214989,1,N,N,mozilla
CORE-215250,0,N,N,mozilla
CORE-217225,79,N,N,mozilla
CORE-219444,495,Y,N,mozilla
CORE-220536,42,N,N,mozilla
CORE-220968,96,N,N,mozilla
CORE-221186,0,N,N,mozilla
CORE-221189,0,N,N,mozilla
CORE-222588,4,N,N,mozilla
CORE-224087,8,N,N,mozilla
CORE-22480,3787,Y,N,mozilla
CORE-225419,807,Y,N,mozilla
CORE-22598,19,N,N,mozilla
CORE-23049,9,N,N,mozilla
CORE-230522,3,N,N,mozilla
CORE-230840,13,N,N,mozilla
CORE-231104,6,N,N,mozilla
CORE-231199,18,N,N,mozilla
CORE-231233,7,N,N,mozilla
CORE-231313,1776,Y,N,mozilla
CORE-232233,0,N,N,mozilla
CORE-233532,1348,Y,N,mozilla
CORE-233631,36,N,N,mozilla
CORE-234916,5,N,N,mozilla
CORE-236269,6,N,N,mozilla
CORE-236919,4,N,N,mozilla
CORE-237006,2267,Y,N,mozilla
CORE-237956,41,N,N,mozilla
CORE-239977,187,N,N,mozilla
CORE-240201,683,Y,N,mozilla
