tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
873,0,69,0,Fold06,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
873,0,69,0,Fold07,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
873,0,69,0,Fold08,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
873,0,70,0,Fold09,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
873,0,70,0,Fold10,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
2,871,0,835,Fold01,0.49004683840749413,0.4894490035169988,1,0.7447245017584994,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
2,871,0,835,Fold01,0.49004683840749413,0.4894490035169988,1,0.7447245017584994,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
2,871,0,835,Fold01,0.49004683840749413,0.4894490035169988,1,0.7447245017584994,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
2,871,0,835,Fold01,0.49004683840749413,0.4894490035169988,1,0.7447245017584994,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
2,871,0,835,Fold01,0.49004683840749413,0.4894490035169988,1,0.7447245017584994,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
2,871,0,835,Fold01,0.49004683840749413,0.4894490035169988,1,0.7447245017584994,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,0,835,Fold01,0.4894613583138173,0.48916227299355597,1,0.744581136496778,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,0,835,Fold01,0.4894613583138173,0.48916227299355597,1,0.744581136496778,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,0,835,Fold01,0.4894613583138173,0.48916227299355597,1,0.744581136496778,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,0,835,Fold01,0.4894613583138173,0.48916227299355597,1,0.744581136496778,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,0,835,Fold01,0.4894613583138173,0.48916227299355597,1,0.744581136496778,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,0,835,Fold01,0.4894613583138173,0.48916227299355597,1,0.744581136496778,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
378,495,145,690,Fold01,0.6252927400468384,0.5822784810126582,0.722753346080306,0.6525159135464821,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,1,834,Fold01,0.4888758782201405,0.488862837045721,0.5,0.4944314185228605,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,1,834,Fold01,0.4888758782201405,0.488862837045721,0.5,0.4944314185228605,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,1,834,Fold01,0.4888758782201405,0.488862837045721,0.5,0.4944314185228605,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,872,1,834,Fold01,0.4888758782201405,0.488862837045721,0.5,0.4944314185228605,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
