bug_id,bug_fix_time,long_lived,y_hat,project_name
ECLIPSELINK-297080,164,N,N,eclipse
ECLIPSELINK-299147,3,N,N,eclipse
ECLIPSELINK-301004,1,N,N,eclipse
ECLIPSELINK-315402,0,N,N,eclipse
ECLIPSELINK-320413,62,N,Y,eclipse
ECLIPSELINK-326973,14,N,N,eclipse
ECLIPSELINK-330968,1,N,N,eclipse
ECLIPSELINK-338457,2,N,N,eclipse
ECLIPSELINK-340084,17,N,N,eclipse
ECLIPSELINK-353908,0,N,N,eclipse
ECLIPSELINK-354988,1,N,N,eclipse
ECLIPSELINK-368053,3,N,N,eclipse
ECLIPSELINK-381406,0,N,N,eclipse
ECLIPSELINK-384724,1,N,N,eclipse
ECLIPSELINK-389407,12,N,N,eclipse
ECLIPSELINK-394015,3,N,N,eclipse
ECLIPSELINK-396447,183,N,N,eclipse
ECLIPSELINK-397751,13,N,N,eclipse
ECLIPSELINK-402385,7,N,N,eclipse
ECLIPSELINK-417723,0,N,N,eclipse
ECLIPSELINK-441001,0,N,N,eclipse
ECLIPSELINK-464641,1,N,N,eclipse
ECLIPSELINK-500145,2,N,N,eclipse
ECLIPSELINK-508974,350,N,N,eclipse
ECORETOOLS-215698,32,N,N,eclipse
ECORETOOLS-294090,78,N,N,eclipse
ECORETOOLS-350498,1080,Y,N,eclipse
ECORETOOLS-438287,0,N,N,eclipse
ECORETOOLS-479393,0,N,N,eclipse
ECP-365288,4,N,Y,eclipse
ECP-403468,8,N,N,eclipse
ECP-412185,0,N,N,eclipse
ECP-430292,11,N,N,eclipse
ECP-438155,9,N,N,eclipse
ECP-442571,2,N,N,eclipse
ECP-444611,5,N,N,eclipse
ECP-454648,6,N,N,eclipse
ECP-460110,62,N,N,eclipse
ECP-468950,1474,Y,N,eclipse
ECP-477169,123,N,N,eclipse
ECP-514746,42,N,N,eclipse
ECP-518193,97,N,N,eclipse
EDAPT-344075,15,N,N,eclipse
EEF-444113,739,Y,N,eclipse
EFXCLIPSE-413558,0,N,N,eclipse
EFXCLIPSE-440789,1,N,N,eclipse
EFXCLIPSE-466689,0,N,Y,eclipse
