tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
655,0,53,0,Fold08,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
655,0,52,0,Fold09,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
654,0,53,0,Fold10,0.925035360678925,0,0.925035360678925,0.4625176803394625,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,1087,2
654,0,52,0,Fold01,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
654,0,52,0,Fold02,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
654,0,52,0,Fold03,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,52,0,Fold04,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,52,0,Fold05,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,53,0,Fold06,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,53,0,Fold07,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,52,0,Fold08,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,52,0,Fold09,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
655,0,52,0,Fold10,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,2293,2
654,0,52,0,Fold01,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,52,0,Fold02,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,52,0,Fold03,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,52,0,Fold04,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
654,0,52,0,Fold05,0.9263456090651558,0,0.9263456090651558,0.4631728045325779,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,52,0,Fold06,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
654,0,53,0,Fold07,0.925035360678925,0,0.925035360678925,0.4625176803394625,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,53,0,Fold08,0.9251412429378532,0,0.9251412429378532,0.4625706214689266,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,52,0,Fold09,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
655,0,52,0,Fold10,0.9264497878359265,0,0.9264497878359265,0.46322489391796323,eclipse,knn,unbalanced,cv10,Accuracy,100,long_description,k,33,NA,0,NA,0,3581,2
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
0,0,0,0,Fold01,NaN,0,0,0,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,1,625,Fold01,0.4886807181889149,0.48866301798279904,0.5,0.49433150899139955,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,1,625,Fold01,0.4886807181889149,0.48866301798279904,0.5,0.49433150899139955,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,1,625,Fold01,0.4886807181889149,0.48866301798279904,0.5,0.49433150899139955,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,1,625,Fold01,0.4886807181889149,0.48866301798279904,0.5,0.49433150899139955,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,1,625,Fold01,0.4886807181889149,0.48866301798279904,0.5,0.49433150899139955,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,1,625,Fold01,0.4886807181889149,0.48866301798279904,0.5,0.49433150899139955,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,0,626,Fold01,0.4894613583138173,0.4890625,1,0.74453125,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,0,626,Fold01,0.4894613583138173,0.4890625,1,0.74453125,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,0,626,Fold01,0.4894613583138173,0.4890625,1,0.74453125,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,0,626,Fold01,0.4894613583138173,0.4890625,1,0.74453125,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,0,626,Fold01,0.4894613583138173,0.4890625,1,0.74453125,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
1,654,0,626,Fold01,0.4894613583138173,0.4890625,1,0.74453125,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
325,330,118,508,Fold01,0.6502732240437158,0.6062052505966588,0.7336343115124153,0.669919781054537,eclipse,nb,smote,cv10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144,3
