tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed
3,1743,1,1669,Fold1.Rep01,0.4894613583138173,0.4891559202813599,0.75,0.6195779601406799,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
3,1743,1,1669,Fold1.Rep01,0.4894613583138173,0.4891559202813599,0.75,0.6195779601406799,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,1746,0,1670,Fold1.Rep01,0.4888758782201405,0.4888758782201405,0,0.24443793911007025,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,1746,0,1670,Fold1.Rep01,0.4888758782201405,0.4888758782201405,0,0.24443793911007025,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,1746,0,1670,Fold1.Rep01,0.4888758782201405,0.4888758782201405,0,0.24443793911007025,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,1746,0,1670,Fold1.Rep01,0.4888758782201405,0.4888758782201405,0,0.24443793911007025,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,1746,0,1670,Fold1.Rep01,0.4888758782201405,0.4888758782201405,0,0.24443793911007025,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
0,1746,0,1670,Fold1.Rep01,0.4888758782201405,0.4888758782201405,0,0.24443793911007025,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
770,976,269,1401,Fold1.Rep01,0.6355386416861827,0.5893984013462348,0.7410972088546679,0.6652478051004513,eclipse,nb,smote,repeatedcv5x10,Accuracy,100,long_description,fL,0,usekernel,0,adjust,0,144
