tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
1718,36,9,1671,Fold4.Rep04,"0,986895748398369","0,978910369068541","0,994788650839606","0,986849509954074",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1734,20,9,1671,Fold5.Rep04,"0,991555037856727","0,988172678888232","0,994836488812392","0,991504583850312",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,8,1672,Fold1.Rep05,"0,989516598718695","0,983529411764706","0,995386389850058","0,989457900807382",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1718,36,6,1674,Fold2.Rep05,"0,987769365171811","0,978947368421053","0,996519721577726","0,987733544999389",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1732,22,11,1669,Fold3.Rep05,"0,990390215492137","0,986989946777055","0,993689041881813","0,990339494329434",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,16,1664,Fold4.Rep05,"0,988642981945253","0,986366330764671","0,990841442472811","0,988603886618741",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,11,1669,Fold5.Rep05,"0,990681421083285","0,987573964497041","0,993692660550459","0,99063331252375",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1730,24,10,1670,Fold1.Rep06,"0,99009900990099","0,985832349468713","0,994252873563218","0,990042611515966",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,13,1667,Fold2.Rep06,"0,99009900990099","0,987559241706161","0,992554410080183","0,990056825893172",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1725,29,14,1666,Fold3.Rep06,"0,987478159580664","0,982890855457227","0,991949396204715","0,987420125830971",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,8,1672,Fold4.Rep06,"0,991555037856727","0,987595983461311","0,995404939689833","0,991500461575572",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,6,1674,Fold5.Rep06,"0,99009900990099","0,983548766157462","0,996535796766744","0,990042281462103",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,6,1674,Fold1.Rep07,"0,992137449039022","0,987610619469026","0,996549741230592","0,992080180349809",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1723,31,8,1672,Fold2.Rep07,"0,988642981945253","0,981796829125073","0,995378393991912","0,988587611558493",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,6,1674,Fold3.Rep07,"0,99009900990099","0,983548766157462","0,996535796766744","0,990042281462103",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,10,1670,Fold4.Rep07,"0,989225393127548","0,98408956982911","0,994242947610823","0,989166258719967",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,15,1665,Fold5.Rep07,"0,987769365171811","0,984042553191489","0,991389207807118","0,987715880499304",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1719,35,22,1658,Fold1.Rep08,"0,983401281304601","0,979326639102185","0,987363584147042","0,983345111624614",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1725,29,6,1674,Fold2.Rep08,"0,989807804309843","0,982971227246036","0,996533795493934","0,989752511369985",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1730,24,10,1670,Fold3.Rep08,"0,99009900990099","0,985832349468713","0,994252873563218","0,990042611515966",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1737,17,12,1668,Fold4.Rep08,"0,991555037856727","0,989910979228487","0,993138936535163","0,991524957881825",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
