tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,threshold,hyper1,value1,hyper2,value2,seed,row
724,42,23,702,Fold03,0.9564050972501676,0.9435483870967742,0.9692101740294511,0.9563792805631126,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
726,40,40,684,Fold04,0.9463087248322147,0.9447513812154696,0.9477806788511749,0.9462660300333223,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
733,33,34,691,Fold05,0.9550637156270959,0.9544198895027625,0.9556714471968709,0.9550456683498167,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
725,40,37,688,Fold06,0.9483221476510068,0.945054945054945,0.9514435695538058,0.9482492573043755,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
717,49,36,688,Fold07,0.9429530201342282,0.9335142469470827,0.952191235059761,0.9428527410034219,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
721,45,34,691,Fold08,0.9470154258886653,0.938858695652174,0.9549668874172186,0.9469127915346962,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
719,47,36,689,Fold09,0.9443326626425218,0.936141304347826,0.952317880794702,0.944229592571264,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
723,42,45,680,Fold10,0.9416107382550336,0.9418282548476454,0.94140625,0.9416172524238227,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,283,3
721,45,49,675,Fold01,0.9369127516778524,0.9375,0.9363636363636364,0.9369318181818183,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
726,40,45,680,Fold02,0.9429912810194501,0.9444444444444444,0.9416342412451362,0.9430393428447903,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
730,36,37,688,Fold03,0.9510395707578806,0.9502762430939227,0.9517601043024772,0.9510181736982,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
726,40,44,681,Fold04,0.9436619718309859,0.9445214979195562,0.9428571428571428,0.9436893203883495,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
732,34,24,701,Fold05,0.9610999329309189,0.9537414965986395,0.9682539682539683,0.9609977324263039,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
723,43,38,687,Fold06,0.9456740442655935,0.9410958904109589,0.9500657030223391,0.945580796716649,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
708,57,39,685,Fold07,0.9355271994627267,0.9231805929919138,0.9477911646586346,0.9354858788252742,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
719,47,44,681,Fold08,0.9389671361502347,0.9354395604395604,0.9423328964613368,0.9388862284504487,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
735,31,38,687,Fold09,0.9537223340040242,0.9568245125348189,0.9508408796895214,0.9538326961121701,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
729,36,40,685,Fold10,0.9489932885906041,0.9500693481276006,0.9479843953185956,0.9490268717230981,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,1087,3
735,30,45,680,Fold01,0.9496644295302014,0.9577464788732394,0.9423076923076923,0.9500270855904658,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
727,38,36,689,Fold02,0.9503355704697987,0.9477303988995873,0.9528178243774574,0.9502741116385224,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
724,42,38,686,Fold03,0.9463087248322147,0.9423076923076923,0.9501312335958005,0.9462194629517464,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
721,45,37,688,Fold04,0.9450033534540577,0.9386084583901774,0.9511873350923483,0.9448978967412629,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
709,57,39,686,Fold05,0.9356136820925554,0.9232839838492598,0.9478609625668449,0.9355724732080524,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
728,38,40,684,Fold06,0.9476510067114094,0.9473684210526315,0.9479166666666666,0.9476425438596491,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
724,42,31,694,Fold07,0.9510395707578806,0.9429347826086957,0.9589403973509933,0.9509375899798445,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
717,49,40,685,Fold08,0.9403085177733065,0.9332425068119891,0.9471598414795245,0.9402011741457568,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
723,43,29,696,Fold09,0.9517102615694165,0.9418132611637348,0.961436170212766,0.9516247156882504,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
727,39,40,685,Fold10,0.9470154258886653,0.9461325966850829,0.9478487614080835,0.9469906790465832,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,2293,3
740,25,39,685,Fold01,0.9570181329751511,0.9647887323943662,0.9499358151476252,0.9573622737709957,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
734,32,36,689,Fold02,0.95439302481556,0.955617198335645,0.9532467532467532,0.9544319757911991,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
724,42,36,689,Fold03,0.9476861167002012,0.9425444596443229,0.9526315789473684,0.9475880192958457,eclipse,svm,smote,cv10,Accuracy,150,long_description,102,sigma,0.03125,C,32,3581,3
