tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
91,0,1,83,Fold01,0.9942857142857143,1,0.9891304347826086,0.9945652173913043,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
89,1,2,82,Fold02,0.9827586206896551,0.9879518072289156,0.978021978021978,0.9829868926254468,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
91,0,0,84,Fold03,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
90,0,0,84,Fold04,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
89,1,1,83,Fold05,0.9885057471264368,0.9880952380952381,0.9888888888888889,0.9884920634920635,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
91,0,0,84,Fold06,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
90,0,1,83,Fold07,0.9942528735632183,1,0.989010989010989,0.9945054945054945,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
90,0,0,84,Fold08,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
91,0,0,84,Fold09,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
90,0,1,83,Fold10,0.9942528735632183,1,0.989010989010989,0.9945054945054945,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,144,4
90,0,3,81,Fold01,0.9827586206896551,1,0.967741935483871,0.9838709677419355,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
90,0,0,84,Fold02,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
91,0,1,83,Fold03,0.9942857142857143,1,0.9891304347826086,0.9945652173913043,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
90,1,0,84,Fold04,0.9942857142857143,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
90,0,0,84,Fold05,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
90,0,0,84,Fold06,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
90,0,0,84,Fold07,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
91,0,0,84,Fold08,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
91,0,0,84,Fold09,1,1,1,1,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
89,1,0,84,Fold10,0.9942528735632183,0.9882352941176471,1,0.9941176470588236,eclipse,svm,smote,cv10,Accuracy,150,long_description,sigma,0.03125,C,32,283,4
