tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,classifier,balancing,resampling,feature,hyper1,value1,hyper2,value2,hyper3,value3,seed,row
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,69,0,Fold01,0.9267515923566879,0,0.9267515923566879,0.46337579617834396,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
364,509,24,45,Fold01,0.43418259023354566,0.0812274368231047,0.9381443298969072,0.509685883360006,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold02,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold02,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold02,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold02,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold02,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
0,0,0,0,Fold02,NaN,0,0,0,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
871,2,70,0,Fold02,0.9236479321314952,0,0.9256110520722636,0.4628055260361318,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
871,2,70,0,Fold02,0.9236479321314952,0,0.9256110520722636,0.4628055260361318,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
871,2,70,0,Fold02,0.9236479321314952,0,0.9256110520722636,0.4628055260361318,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
871,2,70,0,Fold02,0.9236479321314952,0,0.9256110520722636,0.4628055260361318,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
871,2,70,0,Fold02,0.9236479321314952,0,0.9256110520722636,0.4628055260361318,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
871,2,70,0,Fold02,0.9236479321314952,0,0.9256110520722636,0.4628055260361318,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
369,504,22,48,Fold02,0.44220572640509015,0.08695652173913043,0.9437340153452686,0.5153452685421995,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
873,0,70,0,Fold02,0.9257688229056203,0,0.9257688229056203,0.4628844114528102,nb,unbalanced,10-cv,long_description,fL,0,usekernel,1,adjust,1,144,2
